Y,X,Name,Nearest Planning Area,Distance to PA,Amount of Blood Collected
1.427492776,103.7922408,kml_1,Mandai,0.006824998583010199,14
1.354658083,103.8895462,kml_2,Hougang,0.006601088199977969,758
1.397127918,103.8866657,kml_3,Sengkang,0.008592015327866992,503
1.366833481,103.8406681,kml_4,Ang Mo Kio,0.004062394944778655,353
1.320799304,103.7475402,kml_5,Clementi,0.014526193469603205,453
1.324246598,103.9360478,kml_6,Bedok,0.005702212479270988,306
1.338730654,103.87167,kml_7,Toa Payoh,0.00952572014606888,308
1.349511618,103.8505093,kml_8,Bishan,0.012610307746108098,389
1.348323225,103.7113802,kml_9,Jurong West,0.010752045552615384,1141
1.351612246,103.8703679,kml_10,Serangoon,0.014395273586997583,521
1.383434763,103.8921905,kml_11,Sengkang,0.009068148578113068,503
1.350190806,103.7475144,kml_12,Bukit Batok,0.008353169445064744,743
1.348987388,103.7581958,kml_13,Bukit Batok,0.008535990334797837,743
1.285254266,103.8158285,kml_14,Bukit Merah,0.013804268299583805,394
1.376450749,103.7705588,kml_15,Bukit Panjang,0.011245726898647052,459
1.34050086,103.7716096,kml_16,Bukit Timah,0.02268454826747634,370
1.309258715,103.7926194,kml_17,Bukit Timah,0.01918062825890357,370
1.310434338,103.8388649,kml_18,Newton,0.002319600341838653,129
1.445044127,103.8194737,kml_19,Sembawang,0.007995833102007067,732
1.344935531,103.9551109,kml_20,Tampines,0.00018856285201448417,630
1.371780447,103.84957,kml_21,Ang Mo Kio,0.006122581891635495,353
1.43083237,103.8292349,kml_22,Yishun,0.01300333464219228,610
1.38115529,103.7519039,kml_23,Choa Chu Kang,0.007881227754107524,632
1.375148978,103.8828942,kml_24,Sengkang,0.013722405019023021,503
1.318815188,103.7681537,kml_25,Clementi,0.007048299382782052,453
1.302529945,103.7832717,kml_26,Queenstown,0.01563894270547175,1355
1.332552778,103.9151436,kml_27,Bedok,0.01703566365818305,306
1.330498792,103.9399957,kml_28,Bedok,0.01109313249041854,306
1.330707618,103.9366136,kml_29,Bedok,0.008478036766086697,306
1.391725516,103.8770005,kml_30,Sengkang,0.008383258673186553,503
1.429529819,103.7748119,kml_31,Woodlands,0.017990195799568044,848
1.294993278,103.8667755,kml_32,Marina East,0.008955613812289405,0
1.384947027,103.9434462,kml_33,Pasir Ris,0.009601195879197912,643
1.45903794,103.8436503,kml_34,Simpang,0.01777579025083505,0
1.348689819,103.6987263,kml_35,Jurong West,0.005495161931602538,1141
1.316450168,103.896597,kml_36,Geylang,0.010353420214410613,387
1.315691108,103.8723879,kml_37,Kallang,0.008238212189260416,267
1.286010157,103.8233153,kml_38,Bukit Merah,0.01176500552510048,394
1.361967244,103.7642664,kml_39,Bukit Panjang,0.009795345677080876,459
1.359058888,103.7494568,kml_40,Bukit Batok,0.0049770154640768815,743
1.364757432,103.8926222,kml_41,Hougang,0.003961646049388972,758
1.3736001,103.873891,kml_42,Serangoon,0.008168005874753446,521
1.286329405,103.8464793,kml_43,Outram,0.006327715922826359,55
1.308004171,103.8617866,kml_44,Kallang,0.0052607455168886255,267
1.307457206,103.9041689,kml_45,Marine Parade,0.011011514697975592,155
1.350556032,103.7253416,kml_46,Tengah,0.012103174027132851,53
1.348330169,103.7181557,kml_47,Boon Lay,0.015733548815485294,0
1.33338207,103.9268462,kml_48,Bedok,0.009145022711995547,306
1.317802905,103.8623733,kml_49,Kallang,0.006114110630340661,267
1.326984988,103.9316206,kml_50,Bedok,0.0023773907064985377,306
1.302795218,103.8635979,kml_51,Kallang,0.009534108753162823,267
1.323155199,103.9126987,kml_52,Bedok,0.017781544003882474,306
1.317846431,103.9007501,kml_53,Geylang,0.013575554105766078,387
1.300591174,103.8847489,kml_54,Marine Parade,0.012884734489961592,155
1.384065159,103.7449238,kml_55,Choa Chu Kang,0.0038495257911987596,632
1.373007499,103.8376124,kml_56,Ang Mo Kio,0.007885685226729892,353
1.28968266,103.8307064,kml_57,River Valley,0.008573398592599252,158
1.324154318,103.8696931,kml_58,Kallang,0.012840378699817464,267
1.281192576,103.8430129,kml_59,Outram,0.000898680771453233,55
1.289787119,103.8144483,kml_60,Bukit Merah,0.018320007317884,394
1.394917584,103.7447279,kml_61,Choa Chu Kang,0.007931310885588606,632
1.323537088,103.8844812,kml_62,Geylang,0.0036951793877685636,387
1.304828598,103.9095453,kml_63,Marine Parade,0.013520388301134325,155
1.440656777,103.7736152,kml_64,Woodlands,0.014711476443920063,848
1.362137568,103.8412862,kml_65,Ang Mo Kio,0.007246265755176385,353
1.300177628,103.8840432,kml_66,Marine Parade,0.013531784016160361,155
1.309234637,103.8868268,kml_67,Geylang,0.012701718404168146,387
1.342364028,103.6923202,kml_68,Jurong West,0.009366289097951933,1141
1.428035845,103.8360921,kml_69,Yishun,0.008954528494791511,610
1.431020872,103.8384881,kml_70,Yishun,0.012382085778431888,610
1.415174966,103.8346931,kml_71,Yishun,0.003987545577564955,610
1.408617595,103.9050878,kml_72,Punggol,0.0063592551477368395,663
1.368587029,103.959198,kml_73,Pasir Ris,0.014180765128544439,643
1.378429437,103.9424764,kml_74,Pasir Ris,0.005240390791620412,643
1.357798605,103.8860921,kml_75,Hougang,0.006353842306117683,758
1.313058648,103.8513738,kml_76,Rochor,0.008414474563148823,171
1.332535912,103.8670368,kml_77,Toa Payoh,0.006043985815047255,308
1.393606242,103.9134641,kml_78,Punggol,0.010961947021333747,663
1.374378821,103.8918153,kml_79,Hougang,0.013456675147414653,758
1.377734444,103.8962529,kml_80,Sengkang,0.015856530437197532,503
