WKT,name,Cleaned Data,Longitude,Latitude
POINT (103.8377041 1.3419494),Mount Alvernia Hospital,103.8377041 1.3419494,103.8377041,1.3419494
POINT (103.813415 1.3267987),Crawfurd Hospital,103.813415 1.3267987,103.813415,1.3267987
POINT (103.8198659 1.3076174),Gleneagles Hospital,103.8198659 1.3076174,103.8198659,1.3076174
POINT (103.853915 1.312582),Farrer Park Hospital,103.853915 1.312582,103.853915,1.312582
POINT (103.8355093 1.305518),Mount Elizabeth Hospital,103.8355093 1.305518,103.8355093,1.305518
POINT (103.8440388 1.322236),Mount Elizabeth Novena Hospital,103.8440388 1.322236,103.8440388,1.322236
POINT (103.9090373 1.3152183),Parkway East Hospital,103.9090373 1.3152183,103.9090373,1.3152183
POINT (103.8570811 1.3011534),Raffles Hospital,103.8570811 1.3011534,103.8570811,1.3011534
POINT (103.8415012 1.3253292),Thomson Medical Centre,103.8415012 1.3253292,103.8415012,1.3253292
